productinfo_id,ProductName,Brand,BrandDictionary_Id,OriginalPlace,DisplayCategoryName,image_id,image_name,image_format,image_size,image_url
2727,泸州一品坊四季辞38度500ml（含经销商赠品等政策）,泸州老窖,3547,,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17650,4662642393839929875.jpg,jpg,99685,http://yjp-product.ufile.ucloud.cn/Product/2017/11/fb66fd3af5794eab94ff00d659674977.jpg
2728,泸州一品坊四季辞52度500ml（含经销商赠品等政策）,泸州老窖,3547,四川,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17651,4808362710596734799.jpg,jpg,99685,http://yjp-product.ufile.ucloud.cn/Product/2017/11/da849a6dd7904fc5ab885b6ec6ba8e98.jpg
2730,全兴大曲金奖89/38度500ml,全兴,3604,四川,白酒-全国名酒,17653,4923259725030626952.png,png,31576,http://yjp-product.ufile.ucloud.cn/Product/2017/11/67654f3a133843c7a6853c7b8714040d.png
2731,全兴大曲金奖89/52度500ml,全兴,3604,四川,白酒-全国名酒,17654,4946084404782278875.png,png,31576,http://yjp-product.ufile.ucloud.cn/Product/2017/11/a3fd9d10664b4fc5b05f738d5ab00052.png
2732,全兴大曲老字号（龙版）38度500ml,全兴,3604,四川,白酒-全国名酒,17655,5656194123038528371.png,png,28776,http://yjp-product.ufile.ucloud.cn/Product/2017/11/feaeab64ede94c2b8ef4735b40fedc70.png
2734,全兴大曲老字号（龙版）52度500ml,全兴,3604,四川,白酒-全国名酒,17657,4825577156065243445.png,png,28776,http://yjp-product.ufile.ucloud.cn/Product/2017/11/4d8b5d95bb054ee38fe868462b035216.png
2736,全兴大曲青花15/38度500ml,全兴,3604,四川,白酒-全国名酒,17659,5552433956554307481.png,png,35881,http://yjp-product.ufile.ucloud.cn/Product/2017/11/668d01f0e69148edb1b8d94f4c06d4f2.png
2737,全兴大曲青花15/52度500ml,全兴,3604,四川,白酒-全国名酒,17660,5500098508962876470.png,png,35881,http://yjp-product.ufile.ucloud.cn/Product/2017/11/aa93fee496654d9da75f4bf5eb32c5a0.png
2738,全兴大曲青花6/38度500ml,全兴,3604,四川,白酒-全国名酒,17661,5396062939344956531.png,png,35132,http://yjp-product.ufile.ucloud.cn/Product/2017/11/1710b159414a4229840993de3abc5a7b.png
2739,全兴大曲青花8/38度500ml,全兴,3604,四川,白酒-全国名酒,17662,5650309877925363332.png,png,36967,http://yjp-product.ufile.ucloud.cn/Product/2017/11/ce4b6f01d3044e7c80a05af9ec4d7723.png
2740,全兴大曲青花8/52度500ml,全兴,3604,四川,白酒-全国名酒,17663,5583600443479946178.png,png,36967,http://yjp-product.ufile.ucloud.cn/Product/2017/11/77eff36a014a4ba489d3bdccb11bfa9f.png
2741,全兴头曲（红）38度500ml,全兴,3604,四川,白酒-全国名酒,17664,4910679501489197898.png,png,36694,http://yjp-product.ufile.ucloud.cn/Product/2017/11/ffc1596b50bc4f67b0193fb19703de8b.png
2742,全兴头曲（红）52度500ml,全兴,3604,四川,白酒-全国名酒,17665,5208684345705490220.png,png,36694,http://yjp-product.ufile.ucloud.cn/Product/2017/11/24e8e3e4171642c484867a70e89041c6.png
2743,将军岭1927年41度500ml（含经销商赠品等政策）,将军岭,3818,邯郸,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17666,5639708309980723578.jpg,jpg,81434,http://yjp-product.ufile.ucloud.cn/Product/2017/11/da46707067564e3fa4415fb944e0e0b5.jpg
2744,将军岭1927年41度500ml,将军岭,3818,邯郸,白酒-区域名酒,17667,5404481733775673150.jpg,jpg,86355,http://yjp-product.ufile.ucloud.cn/Product/2017/11/8de47c9d3b444afcaeda2b7ee58f28d2.jpg
2756,五粮液1618/52度500ml（促销装）,五粮液,3555,四川,白酒-全国名酒,17679,5625642878505230809.jpg,jpg,66810,http://yjp-product.ufile.ucloud.cn/Product/2017/11/1c529dd81fd848c9ae3ce57172fd7810.jpg
2762,丹凤高梁酒56度145ml（含经销商赠品等政策）,高粱酒,3577,厦门,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17685,4717828362394235978.jpg,jpg,82668,http://yjp-product.ufile.ucloud.cn/Product/2017/11/c3c018d2d7b4456dbf55be253bdb76cc.jpg
2766,丹凤特制高粱酒39度500ml（含经销商赠品等政策）,高粱酒,3577,厦门,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17689,4797673938423587576.jpg,jpg,94473,http://yjp-product.ufile.ucloud.cn/Product/2017/11/99c166cdb746499d845bfa274beabe2e.jpg
2768,泸州老窖青花瓷56度500ml（含经销商赠品等政策）,泸州老窖,3547,泸州,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17691,5272970443687688021.jpg,jpg,103013,http://yjp-product.ufile.ucloud.cn/Product/2017/11/d4d80cfc2ee24be2ad7eb2b17093a4d0.jpg
2769,湘窖红钻（光瓶）52度500ml,湘窖,3586,湖南,白酒-区域名酒,17692,5609897298363266412.jpg,jpg,60187,http://yjp-product.ufile.ucloud.cn/Product/2017/11/4060bea137674f7d9b4e7cce787c8e9d.jpg
2770,四特窖藏45度460ml（含经销商赠品等政策）,四特,3562,樟树市,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17693,5338739034974174693.jpg,jpg,97495,http://yjp-product.ufile.ucloud.cn/Product/2017/11/e28d9b4f047a448e97513d1641d38d8a.jpg
2774,浏阳河50周年内供50度475ml（瓷瓶）,浏阳河,3560,湖南,白酒-区域名酒,17697,4911787388046886306.jpg,jpg,49901,http://yjp-product.ufile.ucloud.cn/Product/2017/11/d2c5d3b5c5b84af1934cea38578d47a6.jpg
2777,今世缘高沟青花52度3L,今世缘,3587,江苏,白酒-区域名酒,17700,4677246528268957669.jpg,jpg,75624,http://yjp-product.ufile.ucloud.cn/Product/2017/11/22829fb2d75f452f9329fd0526f67828.jpg
2782,古井八年原浆2011版45度425ml,古井,3525,安徽,白酒-区域名酒,17705,5380774649093593107.jpg,jpg,10844,http://yjp-product.ufile.ucloud.cn/Product/2017/11/3cc5b8e66cf440e797e0b9fe1cf1bce7.jpg
2784,贵宾歪脖小郎酒45度100ml（活动）,郎酒,3534,四川,白酒-区域名酒,17707,5268520599333543615.jpg,jpg,75520,http://yjp-product.ufile.ucloud.cn/Product/2017/11/8e751b3f05a04d988b9651a3f0d42b08.jpg
2787,郎酒迎宾郎45度110ml*24,郎酒,3534,,白酒-全国名酒,17712,4838252361402962443.jpg,jpg,65005,http://yjp-product.ufile.ucloud.cn/Product/2017/11/a28641827c3946d3ab344a1e4e98b761.jpg
2791,景芝绵柔头曲38度500ml,景芝,3595,山东潍坊,白酒-区域名酒,17716,4834491699295970888.jpg,jpg,87895,http://yjp-product.ufile.ucloud.cn/Product/2017/11/264a94d70a034b20af627360e5a61442.jpg
